一昌實業股份有限公司,"I-CHONG DEVELOPMENT CO., LTD",夾克、男襯衫、褲子、牛仔褲、裙子、休閒服、運動服,苗栗縣後龍鎮南龍里勝利街 208之14號,037-723111-3,037-725989,cs.chong@msa.hinet.net,,
丸曾西裝社股份有限公司,"WAN TSUN CLOTHING CO., LTD.",西服、套裝、夾克、褲子、休閒服、工作服、運動服、衝浪褲,台北市仁愛路四段376 號7樓之1,02-27557911,02-27010209,mej-jong@umail.hinet.net,,海外設廠：柬埔
山華企業股份有限公司,WELL & DAVID CORP.,夾克、滑雪裝、工作服、Polo衫,高雄市鼓山區吳鳳路11號,07-5858288,07-5833738,suzy@wnd.com.tw,http://www.wnd.com.tw/,海外設廠：柬埔
太春企業股份有限公司,TITAN CORPORATION LTD.,男襯衫、女襯衫、裙子、洋裝、休閒服、睡衣、運動服,台北市基隆路一段159號13樓,02-87867822,02-87861629,titanliaw@yahoo.com.tw,NIL
立耀股份有限公司,"LI YAW INTERNATIONAL CO., LTD.",高爾夫休閒服、瑜珈服、機能性服飾,新北市新莊區中正路651號6樓,02-22519738,02-22530838,liangarment@gmail.com,NIL
弘敬有限公司,IVAN DESIGNS CREATIONS LTD.,套裝、風衣、夾克、休閒服、柔道、功夫裝、運動服,新北市新莊區五權二路26號6樓之2,02-22997291,02-22997280,oliver@cgccorp.com.tw,NIL
玉宮實業股份有限公司,YU GONG ENTERPRISES INC.,褲子,台北市長安東路二段215號 8樓805室,02-27518215-6,02-27512873,yugong.hammill@msa.hinet.net,NIL
加麗工業股份有限公司,CHARLES GARMENT MFG. CORP.,西服、套裝、夾克、褲子、團體制服,台北市復興南路二段347號3樓,02-27020311,02-27338884,ariel.hsiao@charlesgarment.com.tw,NIL,海外設廠：柬埔
皮耶洛實業有限公司,"PIERO PACCO TEXTILE INDUSTRY CO., LTD.",套裝、團體制服、流行女裝,台北市長安東路一段23號5樓之1,02-25637908,02-25637578,sa0205@pieropacco.com.tw,http://www.pieropacco.com.tw/
年興紡織股份有限公司,"NIEN HSING TEXTILE CO., LTD.",牛仔褲、休閒服、防護衣,台北市內湖路一段306號13樓,02-26568888,02-26568899,anita.huang@nhjeans.com,http://www.nhjeans.com/,海外設廠：越南、墨西哥、賴索
伊勤製衣廠股份有限公司,"EEGYN GARMENTS MFG. CO., LTD.",女襯衫、裙子、洋裝、童裝、睡衣，運動服、防護衣、緊身褲,台北市南京東路四段180號7樓,02-25793190,02-25781236,sunny@eagyn.com.tw,http://www.eagyngroup.com/,海外設廠：柬埔
旭榮製衣股份有限公司,"NEW WIDE GARMENT CO., LTD.",夾克、褲子、休閒服、工作服、韻律服、運動服,台北市忠孝東路二段96號3樓,02-23210909,02-23971177,tony.tu@newwide.com,http://www.newwide.com/,海外設廠：越南、柬埔寨、賴索托、肯亞、衣索比
向億製衣股份有限公司,"LEE & AVANT-GARDE INDUSTRIAL CO., LTD.",休閒服、運動服,新北市中和區連城路222巷 2弄4號5樓,02-82451133,02-82453636,lag.lee@msa.hinet.net,NIL
全琪實業股份有限公司,"SUPER HUANG(C&C)CO., LTD.",套裝、夾克、男襯衫、褲子、休閒服、運動服、Polo衫,新北市板橋區文化路一段 150巷7號,02-22557137,02-22570225,wh101@ms17.hinet.net,http://www.eztrust.tw/GH/index.aspx
全家福股份有限公司,"FAR EASTERN APPAREL CO., LTD.",套裝、夾克、男襯衫、女襯衫、褲子、裙子、休閒服、工作服、團體制服、運動服,新北市板橋區新站路16號39樓,02-77272688,02-77386010,meganlu@fet.com.tw,http://www.fet.com.tw/
光隆實業股份有限公司,"KWONG LUNG ENTERPRISE CO., LTD.",夾克、滑雪裝、羽絨衣,台北市敦化南路二段105號16樓,02-27092550,02-27052555,shadow.lin@klf-group.com,http://www.klf.com.tw/
吾友製衣事業股份有限公司,"WU YU FOUNDATION CO., LTD.",內衣褲,台中市大里區瑞城一街125巷16號,04-24913155,04-24913197,a4913155@ms47.hinet.net,NIL
良頂股份有限公司,FOR YOUNG INTERNATIONAL LTD.,套裝、風衣、夾克、休閒服、滑雪裝、羽絨衣、運動服、Polo衫,台北市民生東路二段145號10樓,02-25056676,02-25042497,fy@for-young.com.tw,http://www.for-young.com.tw/,海外設廠：越
佑喜企業有限公司,"YOU SHI CO., LTD.",西服、套裝、男襯衫、女襯衫、休閒服、工作服、團體制服、運動服,新北市中和區立德街193號5樓,02-22227797,02-32342093,youshi318@yahoo.com.tw,NIL
東紘企業股份有限公司,"TUN YUN TEXTILE CO., LTD.",夾克、男襯衫、裙子、洋裝、童裝,新北市汐止區新台五路一段 90號22樓C棟,02-26963118,02-26963238,tunyun@tunyun.com.tw,http://www.tunyun.com.tw/,海外設廠：印
東豐纖維企業股份有限公司,TUNTEX INCORPORATION.,夾克、褲子、裙子、休閒服、工作服、運動服,新北市汐止區新台五路一段 90號23樓Ｃ棟,02-26969933~553,02-26961238,jenny@tun.com.tw,http://www.tun.com.tw,海外設廠：越南、柬埔寨、印尼、泰
金紗成衣有限公司,"GOLDEN SILK ENTERPRISES CO., LTD.",褲子、泳裝、瑜珈服,新北市三重區長壽街96號,02-29722024,02-29863029,terence@lihshyuan.com.tw,NIL
金漢實業股份有限公司,"KING HAMM INDUSTRIAL CO., LTD.",夾克、褲子、休閒服、泳裝、運動服、瑜珈服,新北市新莊區新北大道二段 312號4樓,02-85212588,02-85212585,jacky@khm89.com.tw,http://www.khm89.com.tw/,海外設廠：越
佳碁有限公司,"JIA CHYI ENTERPRISE CO., LTD.",套裝、夾克、男襯衫、褲子、休閒服、運動服,新北市三重區重新路五段 609巷4號4樓之3,02-29952899,02-29952799,jia200@ms53.hinet.net,NIL
佳俐服飾開發有限公司,"CHIA LEE GARMENT CO., LTD.",男襯衫、女襯衫、休閒服、團體制服、運動服,台南市佳里區民安里新宅 22之13號,06-7261069,06-7262633,orfeo.apparel@gmail.com,NIL
佳美服裝企業有限公司,CHIA-MEI CLOTHING ENTERPRISES LTD.,男襯衫、女襯衫、褲子、童裝、休閒服、運動服,嘉義縣民雄鄉建國路二段 143號1樓,05-2265629,05-2265097,chiamei@msa.hinet.net,http://www.chiamei.com.tw/
亞蘭夢藤國際設計股份有限公司,"ALAMODE GARMENT IND. CO., LTD.",童裝、休閒服、內衣褲、睡衣、運動服,新北市中和區員山路504號7樓之2,02-22266406,02-22213551,alamode@alamode.com.tw,www.alamode.com.tw
和興國際開發股份有限公司,HOSING DEVELOPMENT CORPORATION,禮服,台北市敦化南路二段77號7樓之1,02-27003291,02-27093717,hosing@hosing.com.tw,http://www.hosing.com.tw/,海外設廠：越
奇倉實業股份有限公司,"QUINT MAJOR INDUSTRIAL CO., LTD.",褲子、休閒服、運動服,新北市五股區五股工業區五權七路39號,02-22991561,02-22991708,philip.chen@qmico.com,http://www.qmico.com
奇哥股份有限公司,"CHICKABIDDY CO., LTD.",童裝,台北市南京東路4段186號5樓,02-25781188,02-25772440,yentsun@chick.com.tw,http://www.chick.com.tw
固祥企業股份有限公司,"WEARTEX INTERNATIONAL CO., LTD.",夾克、男襯衫、褲子、休閒服、滑雪裝、工作服、羽絨衣、運動服,台北市忠孝東路六段467號1樓,02-27833288,02-27837555,,http://www.e-domex.net
南光纖維工業股份有限公司,"NAN KUANG FIBER INDUSTRIAL CO., LTD.",夾克、褲子、休閒服、睡衣、運動服,新北市三峽區介壽路一段316號,02-26711905,02-26711910,nk1968@ms15.hinet.net,,海外設廠：越南、柬埔
南緯實業股份有限公司,"TEX-RAY INDUSTRIAL CO., LTD.",褲子、休閒服、運動服、Polo衫、T恤、防護衣、口罩、隔離衣,台北市林森北路426號10樓,02-25215155,02-25818638,tr-hq@texray.com,http://www.texray.com,海外設廠：越南、柬埔寨、墨西哥、美國、史瓦帝
帝一實業股份有限公司,"KING FIRST INDUSTRIAL CO., LTD",套裝、女襯衫、褲子、洋裝、休閒服、運動服,新北市土城區忠承路87號12樓,02-22671918,02-22675918,jason.huang@kingfirst.com.tw,
信威股份有限公司,"MASCOT GARMENTS MFG., INC.",套裝、男襯衫、女襯衫,台北市南京東路三段103號4樓,02-25079933,02-25069215,mascot@mascotmfg.com.tw,www.mascotmfg.com.tw
星高國際股份有限公司,"SHINE KAO GLOBAL CO., LTD.",套裝、夾克、褲子、裙子、洋裝、休閒服、海灘褲、運動服,台北市忠孝東路四段107號11樓之1,02-87732868,02-87730169,ping.shk@msa.hinet.net,
科聚實業股份有限公司,"ES-CORRECTION ENTERPRISE CO., LTD.",夾克、休閒服、運動服、Polo衫,桃園市中壢區環北路400號12樓之8,03-2872859,03-2872759,kickco@ms31.hinet.net,http://www.kick.com.tw
柏帝服裝股份有限公司,"BIRDIE DRESS CO., LTD.",團體制服、流行女裝,新北市中和區錦和路136號1~4樓,02-82212345,02-82211577,lulu_chang@birdie-dress.com.tw,
帥宇實業股份有限公司,"SHINE WU INDUSTRIAL CO., LTD.",夾克、滑雪裝、羽絨服,彰化縣溪湖鎮員鹿路三段 548巷205號,04-8852208,04-8817758,sasa@aaady.com.tw,http://www.aaady.com.tw
海外製衣廠股份有限公司,"OEMEC GARMENT MFG. CO., LTD.",女襯衫、褲子、裙子、洋裝、休閒服、流行女裝、瑜珈服,新北市l五股區五權五路20號5樓(新北產業園區),02-29800139,02-29871912,robert.lin@oemec-garment.com.tw,http://www.oemec-garment.com.tw,海外設廠：越
神采時尚事業股份有限公司,MAGICTEX APPAREL CORPORATION,夾克、褲子、休閒服、工作服、團體制服、運動服,新北市新莊區五權二路10號1樓,02-85127888,02-22999323,sam@magictex998.com,
得力實業股份有限公司,"DE LICACY INDUSTRIAL CO., LTD",夾克、褲子、裙子、休閒服、工作服、運動服,台南市新市區三舍里240號,02-27639088,02-27531909,andy.wang@de-kao.com,http://www.delicacy.com.tw/en
國華琺瑯製衣機械工業股份有限公司,"KUOHWA GARMENT & ENAMEL INDUSTRY CO., LTD.",夾克、褲子、休閒服、運動服,台北市內湖區基湖路3巷45號 7-8樓,02-87518668,02-87518222,,
唯運企業股份有限公司,"WIN GARMENTS MFG. CO., LTD.",洋裝、童裝、休閒服、運動服、瑜珈服,台北市內湖區瑞光路192號10樓,02-87976388,02-87976368,micky@wingarments.com.tw,,海外設廠：柬埔
崑洲實業股份有限公司,"QMI INDUSTRIAL CO., LTD.",夾克、褲子、休閒服、海灘褲、羽絨衣、運動服,新北市五股區五股工業區五權七路39號,02-22991561,02-22991708,philip.chen@qmico.com,http://www.qmico.com,海外設廠：越南、柬埔
翊琳股份有限公司,"ELAINE CO., LTD.",禮服,新北市淡水區中正東路二段 29之5號18樓,02-88097389,02-28091858,,
健男呢羢有限公司,"GINNAAN NAN CO., LTD.",男襯衫、女襯衫、團體制服、防護衣,新北市五股區五權五路15號,02-22990816,02-22991368,ginnaan10@yahoo.com.tw,http://www.ginnaan.com
彩諲股份有限公司,TSAI INN ENTERPRISE LTD.,滑雪裝、團體制服、登山裝,新北市汐止區新台五路一段77號14樓之3,02-26988082,02-26988084,cherry@tsaiinn.com.tw,,海外設廠：印
惠新實業股份有限公司,"FASHION GARMENT IND. CO., LTD.",休閒服、內衣褲、睡衣、運動服,新北市中和區立言街37號,02-22220167,02-22217475,fashion@eswan.com.tw,http://www.eswan.com.tw
普俐鴻有限公司,"WONDERFUL POWER CO., LTD",休閒服、泳裝、內衣褲、睡衣、運動服、瑜珈服,桃園市桃園區民生路192號,03-3398499,03-3396970,amber@wonderfulpower.com,,海外設廠：越
賀舜工業股份有限公司,"HOPE SUNNY INDUSTRIAL CO., LTD.",風衣、夾克、休閒服、滑雪裝、工作服、羽絨衣、運動服,新北市新莊區中正路702-3號5樓,02-29026565-9,02-29034309,feng@hopesunny.com.tw,http://www.fzhope.com
揚霖企業股份有限公司,"YUNG RING ENTERPRISE CO., LTD.",褲子、裙子、洋裝、童裝、休閒服、團體制服、運動服,新北市樹林區俊英街10號,02-26851234,02-26826337,lin@yungring.com.tw,
森由企業股份有限公司,"FOREST GROW ENTERPRISES CO., LTD.",夾克、褲子、休閒服、泳裝、運動服、瑜珈服,雲林縣虎尾鎮光明路56號,056-336351,056-324913,rotaryyen@gmail.com,http://www.forestgrow@secd.net.tw
隆耀企業有限公司,"LAWNYARD ENTERPRISE CO., LTD.",休閒服、泳裝、內衣褲、睡衣、運動服、瑜珈服,新北市五股區中興路一段8號8樓 之2,02-89769192,02-89769190,ly.twn@msa.hinet.net,http://www.lawnyard.com.tw,海外設廠：越
新林製衣廠有限公司,"NEW FASHION GARMENTS & KNITTING MFG. CO., LTD.",套裝、夾克、自行車、童鞋,新北市林口區仁愛路一段252號,02-26012176-7,02-26014689,victorfashion@seed.net.tw,
達新工業股份有限公司,TAH HSIN INDUSTRIAL CORP.,風衣、夾克、休閒服、滑雪裝、團體制服、運動服,台北市敦化北路201-24號後棟7樓,02-27128311,02-27151446,Service@mail.tahhsin.com.tw,http://www.tahhsin.com.tw,海外設廠：越南、緬
達榮製衣股份有限公司,"TAH ZONE GARMENT CO., LTD.",男襯衫、女襯衫、洋裝,台北市復興北路35號10樓,02-27766257,02-27118050,tahzone@ms23.hinet.net,
達步施企業股份有限公司,"DABUS CO., LTD.",夾克、牛仔褲、洋裝、童裝、休閒服、運動服,台北市士林區中正路469號6樓,02-77369899,02-28807573,dabus@ethome.com.tw,
群鼎製衣有限公司,"CHY DING GARMENT CO., LTD.",套裝、褲子、裙子、童裝、休閒服、運動服,新北市樹林區忠愛街6號1樓,02-26761353,02-26898503,accounting@chyjye-garment.tw,
鼎大股份有限公司,"GREAT KING GARMENT CO., LTD.",套裝、風衣、夾克、褲子、休閒服、滑雪裝、工作服、運動服,台北市南京東路二段38號5樓,02-25371180,02-25639195,alice.liao@greatkinggroup.com,http://www.greatkinggroup.com,海外設廠：緬甸、尼加拉
鼎林製衣實業有限公司,"DIN LING GARMENT CO., LTD.",風衣、夾克、休閒服、運動服,台中市西區中港路一段160號 7樓之2,04-23297765,04-23264755,dli56789@ms18.hinet.net,,海外設廠：越
暉凱企業有限公司,"HUI KAI ENTERPRISE CO., LTD.",男襯衫,新北市新莊區中正路347巷 21號10 樓,02-22062689,02-22010827,tim@yuantongtex.com,
福星製衣廠股份有限公司,"FORMOSTAR GARMENT CO., LTD.",套裝、風衣、裙子、洋裝,新北市汐止區新台五路一段 90號13樓Ｃ棟,02-26963388,02-26963378,cathywu@formostar.com.tw,http://www.formostar.tw,海外設廠：越
嘉裕股份有限公司,CARNIVAL INDUSTRIAL CORPORATION,西服、套裝、男襯衫、女襯衫、褲子、裙子、洋裝、團體制服,台北市仁愛路四段25號7樓,02-27113171,02-27110900,carnival@tp.carnival.com.tw,http://www.carnival.com.tw,海外設廠：越南、菲律
嘉予製衣股份有限公司,"JOCK VAN GARMENT INDUSTRIES CO., LTD.",褲子、休閒服、運動服、瑜珈服,新北市土城區中央路三段 184巷9之1號,02-22696000,02-22689895,Nancy.hu@jockvan.com,
遠東新世紀股份有限公司,FAR EASTERN NEW CENTURY CORPORATION,夾克、男襯衫、女襯衫、休閒服、內衣褲、運動服,台北市大安區敦化南路二段207號 32樓,02-27338000,02-27368960,fendichu@fenc.com,http://www.feg.com.tw,海外設廠：越
聚陽實業股份有限公司,"MAKALOT INDUSTRIAL CO., LTD.",夾克、女襯衫、褲子、裙子、童裝、休閒服、睡衣、運動服,台北市忠孝東路四段550號8樓,02-23455588,02-23455517,huangchingho@makalot.com.tw,http://www.makalot.com.tw,海外設廠：越南、菲律賓、柬埔寨、印
聚紡股份有限公司,G-FUN INDUSTRIAL CORPORATION,風衣、夾克、休閒服、滑雪裝、團體制服、羽絨衣、運動服、防護衣,桃園市觀音區工業六路3號,03-4389538,03-4838520,jerrytsai@gtex.com.tw,http://www.gtex.com.tw,海外設廠：泰
滿心企業股份有限公司,MUNSIN GARMENT CORP.,夾克、褲子、牛仔褲、休閒服、團體制服、運動服,新北市五股區五權六路18號,02-22997755,02-22997764,munsin@ms7.hinet.net,http://www.munsin.com.tw
銓有工業股份有限公司,"CHIEN YU INDUSTRIAL CO., LTD.",夾克、褲子、休閒服、滑雪裝、航海裝、防水褲、運動服、高爾夫休閒服,苗栗縣公館鄉玉泉村171-1號,037-238868,037-221118,Wei8395@honstar.com.tw,http://www.honstar.com.tw
德式馬企業股份有限公司,"TEXMA INTERNATIONAL CO., LTD.",套裝、女襯衫、褲子、裙子、洋裝、休閒服、睡衣、運動服,台北市內湖區洲子街65號3樓,02-26598666,02-26596966,debbie@texma.com.tw,http://www.texma.com.tw,海外設廠：越南、柬埔寨、印
龍笛實業股份有限公司,LONG DEED CORP.,套裝、褲子、裙子、洋裝、禮服,台北市南港區市民大道七段 13號1樓,02-27836633,02-27836368,mayjune@longdeed.com.tw,http://www.londee.com
儒鴻企業股份有限公司,"ECLAT TEXTILE CO., LTD.",運動服、Polo衫、機能性服飾,新北市五股區五權路28號7樓,02-22996000,02-22995483,personnel@eclat.com.tw,http://www.eclat.com.tw,海外設廠：越南、柬埔
翰享實業股份有限公司,HANSC & CO.,男襯衫、女襯衫、戶外襯衫,台北市長安東路一段23號5樓之3,02-25671559,02-25671619,phillip@hansc.com.tw,http://www.hansc.com.tw,海外設廠：越
興采實業股份有限公司,"SINGTEX INDUSTRIAL CO., LTD.",夾克、休閒服、滑雪裝、團體制服、運動服,新北市新莊區五權二路10號,02-85127888,02-22989888,sales@singtex.com,http://www.scafefabrics.com,海外設廠：越
聯慶製衣股份有限公司,"LIEN CHING GARMENT MFG. CO., LTD.",夾克、男襯衫、女襯衫、休閒服、運動服,新北市新莊區思源路73號,02-29938677,02-29941018,LC.garment@msa.hinet.net,
聯忠實業股份有限公司,"LACTION SPORTS MFG. CO., LTD.",夾克、休閒服、運動服,台北市忠孝東路四段148號 3樓305室,02-27523143,02-27115200,hawk@laction.com.tw,http://www.laction.com.tw,海外設廠：柬埔
駿諴企業有限公司,"LIH SHYUAN ENTERPRISES CO., LTD.",泳裝、運動服、瑜珈服,新北市三重區長壽街96號,02-29722024,02-29722795,grace-ting@lihshyuan.com.tw,
豐祥實業股份有限公司,"FENG SHYANG INDUSTRIAL CO., LTD.",男襯衫、褲子、裙子,台北市民族東路2號6樓,02-25927280,02-25982667,euro.joy@msa.hinet.net,
蘭一科技股份有限公司,"LANG YU ENTERPRISE CO., LTD.",夾克、褲子、牛仔褲、裙子、工作服,台北市南京東路五段59巷 29弄12號,02-27476721,02-27650370,,
鑀德恩企業股份有限公司,"EDWIN BROTHER CO., LTD.",夾克、男襯衫、女襯衫、褲子、牛仔褲、裙子、童裝、工作服,台北市士林區中正路469號10樓,02-28826766,02-28807573,dabus@ethome.com.tw,
傑凡尼國際有限公司,"GNI CO., LTD.",韻律瑜珈及運動休閒系列,彰化市中華西路166巷30號,04-7633041,04-7616063,edent@giovani.com.tw,http://www.gni.com.tw
寀奕國際股份有限公司,"TAIEASY INTERNATIONAL CO., LTD",童裝、運動服、休閒服、睡衣,台北市內湖區基湖路1號11樓(寀蘴國際大樓),02-87978778,02-87519778,ericying@tyfashion.tw,www.tytaieasy.com.tw/
啟逵股份有限公司,DUET FASHION CORPORATION LIMITED,醫護服,台北市中山區長安東路一段23號5樓之1,02-25671642,02-25637578,fa0530@pieropacco.com.tw,www.paqqo.ocm.tw
敖特實業股份有限公司,OUTERBORO CO. LIMITED,永續環保男裝&女裝、機能休閒服、西裝、瑜珈服,台北市重慶南路1段77號9樓,02-23311080,02-23812431,arissa.chang@wygroup.com.tw,https://www.outerboro.com.tw
莎美娜實業股份有限公司,SABRINA FASHION INDUSTRIAL CORP.,褲子、休閒服、運動服、瑜珈服,新北市新店區北新路3段 207-5號9樓,02-89131415,02-89131417,athenahsu@sabrina.com.tw,http://www.sabrina.com.tw
麗嬰房股份有限公司,"LES ENPHANTS CO., LTD.",童裝,台北市內湖區陽光街321巷60號,02-87976699,02-87978698,hsiuanyang@lesenphants.com.tw,http://www.phland.com,海外設廠：印尼、泰
上禾紡織有限公司,"SHANG HE TEXTILE CO., LTD.",夾克、休閒服、內衣褲、運動服、Polo衫、襯衫、流行女裝,新北市三重區光華路17號,02-22784279,02-29999803,yuyu.chou@silk.com.tw,https://silkknitting.com/
大千針車工業有限公司,"TSIEH LI MACHINERY CO., LTD.",切斷機、送料機、製造生產、各式針車&配件買賣,新北市樹林區三龍街98號,02-26892681,02-26893210,tachien2@ms29.hinet.net,http://www.endcutter.com.tw
大愛感恩科技股份有限公司,"DA.AI TECHNOLOGY CO., LTD.",環保再生紡織品原料、環保再生紡織品,台北市內湖區洲子街69號2樓,02-26575245,02-26575251,daait@daait.com,http://www.daait.com
天衣國際事業股份有限公司,"TIANYI INTERNATIONAL BUSINESS CO., LTD.",套裝制服訂製,新北市中和區建八路128號,02-82216887,02-82212488,anna_su@birdie-dress.com.tw,
台灣天虹時尚創意產業有限公司,TEXHONG FASHION INDUSTRIAL(TAIWAN) LIMITED,國際貿易、產品設計、服飾設計,台北市內湖區洲子街55號12樓,02-26275888,02-26275111,alan.han@texhong.com,http://http://www.texhong.com
台灣歐西瑪股份有限公司,"OSHIMA CO., LTD.",自動裁剪系統、全自動拉布機、連續式粘合機、連續式檢針機、驗布機、縮水定型機,新北市土城區民生街2號,02-22683311,02-22695000,Info@oshima.com.tw,http://www.oshima.com.tw
巨一科技股份有限公司,VAST TECHNOLOGIES INC.,數位看布鏡、數位經緯密度鏡、WiFi無線數位電子顯微鏡、HD數位電子顯微鏡、USB數位電子顯微鏡,新北市三重區光復路一段 80號7樓,02-85123313,02-85123312,pings@vast-tech.com.tw,http://www.Qzzy.com.tw
伍舜貿易股份有限公司,"NEW WOOSUN TRADING CO., LTD.",工業用縫紉機、刺繡機、針車零件、縫製業管理軟體,台北市新生南路一段 161巷 31號1樓,02-27049590,02-27005710,mail.newoosun@ms5.hinet.net,http://www.woosun.com.tw
宏大拉鍊股份有限公司,"MAX ZIPPER CO., LTD.",拉鍊、拉頭、拉鍊零配件,台北市內湖區洲子街196號7樓,02-26271828,02-26271827,sales@maxzip.com.tw,http://www.maxzip.com.tw
依賞企業有限公司,"ECCEZIONE ENTERPRISE CO.,",戶外服飾、用品,台北市內湖區成功路五段 460號７樓,02-26308001,02-26308002,iris.wang@eccezione.com,http://www.hilltop.tw/
佳和實業股份有限公司,"CHIA HER INDUSTRIAL CO., LTD.",仿麂皮、桃皮夾克用布、彈性布、傢飾布、功能性布料,台南市新市區三舍里207號,06-6985911,06-6989432,ma3@chgtex.com,http://www.chiaher.com.tw
朋昌貿易有限公司,"TWO MOONS TRADING CO., LTD.",服裝承製買賣、布料買賣,新北市新莊區復興路二段 166號,02-29969048,02-29964206,yarts01@gmail.com,
金鼎聯合科技纖維股份有限公司,"KING'S METAL FIBER TECHNOLOGIES CO., LTD.",抗熱、抗靜電、導電性和抗電磁波織物等,台北市林森北路426號8樓,02-25210298,02-25811922,charlie.gu@aiqsmartclothing.com,http://www.kingsmetalfiber.com
威誠織造有限公司,"WIN-CHAIN KNITTING CO., LTD.",3M保溫棉、反光材、手套及成衣材料,高雄市前鎮區新衙路288-4號 4樓之2,07-8156966,07-8156898,winchain@win-chain.com.tw,
邕舜國際貿易有限公司,"HARMONY APPAREL INT'L CO., LTD.",成衣、紡織品、布,台北市內湖區瑞光路76巷 65號4樓,02-27915990,02-27913990,rwang@harmonyapparel.com.tw,
