統一編號,公司名稱,英文名稱,代表人姓名,公司所在地,英文地址,電話,Mail,資本總額(元)
26277488,臺北市立聯合醫院和平婦幼院區營養科（和平）,,,臺北市中正區愛國里中華路2段33號B1樓,,,,"200,000"
26277494,臺北市立聯合醫院和平婦幼院區營養科（婦幼）,,,臺北市中正區南福里福州街12號10樓,,,,"200,000"
26276410,臺北市立聯合醫院仁愛院區營養科,,,臺北市大安區仁慈里仁愛路4段10號B1樓,,,,"50,000"
25628731,臺北市立聯合醫院心湖職能工作坊,,,臺北市內湖區樂康里康樂街150號3樓,,,,"100,000"
25622820,臺北市立聯合醫院文山職能工作坊,,,臺北市文山區興業里興隆路2段160號,,,,"20,000"
25611871,臺北市立聯合醫院附設庇護工場心靈舖子鮮果吧,,,臺北市大安區仁慈里仁愛路4段10號,,,,"50,000"
10358267,臺北市立聯合醫院松德院區復健實習商店二,,,臺北市信義區松德路309號,,,,"50,000"
10358301,臺北市立聯合醫院松德院區復健實習商店一,,,臺北市信義區松德路309號,,,,"80,000"
68001316,一德藥品廠股份有限公司,"I DEH MEDICAL FACTORY CO., LTD.",蔡棟山,臺南市南區新忠路18號,"No. 18, Xinzhong Rd., South Dist., Tainan City 70252, Taiwan (R.O.C.)
(來源:國貿局資料)","06-2633035
(來源:國貿局資料)",,"5,000,000"
04449121,一龍化學貿易有限公司,"ELANC CHEMICAL CO., LTD.",劉庭瑞,臺北市大同區長安西路78巷1弄10號2樓,"2 F., No. 10, Aly. 1, Ln. 78, Chang’an W. Rd., Datong Dist., Taipei City 10351, Taiwan (R.O.C.)
(來源:國貿局資料)","02-25319022
(來源:國貿局資料)",,"6,000,000"
86295192,一協紀股份有限公司,SCHIFF INTERNATIONAL CO.,鍾宗成,新北市中和區立德街81號4樓,"4 F., No. 81, Lide St., Zhonghe Dist., New Taipei City 23556, Taiwan (R.O.C.)
(來源:國貿局資料)","02-82281828
(來源:國貿局資料)
(02) 82281828
82281828
(來源:台灣標案網)",,"10,000,000"
52021202,衛生福利部臺中醫院,,,臺中市西 區廣民里三民路1段199號,,"(04) 22294411
(04) 22260360
(04) 22294411 --5300
(來源:台灣標案網)",,"500,000"
72440359,衛生福利部苗栗醫院販賣部,,,苗栗縣苗栗市嘉盛里為公路747號行政大樓1樓,,,,"50,000"
49666609,衛生福利部苗栗醫院,,,苗栗縣苗栗市嘉盛里18鄰?公路747號,,"(037) 261920
(037) 261920 --1229
(來源:台灣標案網)",,"91,279,000"
38974713,衛生福利部草屯療養院附設南投縣草讚屋庇護商店,,,南投縣草屯鎮御史里玉屏路161號,,,,"100,000"
17837088,衛生福利部嘉南療養院愛的集團,,,臺南市仁德區仁德里裕忠路539號,,"(06) 2795019
(06) 2795019 --1227
(06) 2795019 --1217
(來源:台灣標案網)",,"10,000"
70899908,有限責任衛生福利部嘉南療養院員工消費合作社,,,臺南市仁德區仁德里裕忠路539號,,,,"291,000"
90961154,有限責任衛生福利部屏東醫院員工消費合作社,,,屏東縣屏東市興樂里自由路270號,,,,"284,000"
33001851,七星化學製藥股份有限公司,"SEVEN STAR PHARMACEUTICAL CO., LTD.",林智暉,新北市土城區福安街75號,"No. 75, Fu’an St., Tucheng Dist., New Taipei City 23679, Taiwan (R.O.C.)
(來源:國貿局資料)","02-22685871
(來源:國貿局資料)",,"300,000,000"
79172809,七健貿易股份有限公司,"CHI CHIEN TRADING CO., LTD.",黃千洲,高雄市鹽埕區七賢三路89號2樓,"2 F., No. 89, Qixian 3rd Rd., Yancheng Dist., Kaohsiung City 80341, Taiwan (R.O.C.)
(來源:國貿局資料)","07-5516167
(來源:國貿局資料)
(07) 5516167
(來源:台灣標案網)",,"16,000,000"
04996675,七順股份有限公司,,常宗亮,臺北市萬華區峨嵋街5號3樓之9,,,,"2,000,000"
30840213,人人化學製藥股份有限公司,"GENUINE CHEMICAL PHARMACEUTICAL CO., LTD.",王立中,桃園市中壢區南園二路3號,"No. 3, Nanyuan 2nd Rd., Zhongli Dist., Taoyuan City 32063, Taiwan (R.O.C.)
(來源:國貿局資料)","03-4526181-2
(來源:國貿局資料)
(03) 4627749
(03) 4526181
(來源:台灣標案網)",,"30,000,000"
66367252,人生藥局,,吳仁山,嘉義縣義竹鄉六桂村義竹一五三號,,,,"3,000"
42522776,大安健康人生藥局,,,臺北市大安區住安里信義路四段34號,,,,"10,000"
49796997,永正健康人生藥局,,,新北市永和區潭安里中正路191號﹑193號1樓﹑197號2樓﹑197號2樓之1,,,,"240,000"
26557777,宜安健康人生藥局,,,新北市中和區安平里宜安路162號,,,,"3,000,000"
71002508,人生藥局,,沈志鴻,臺南市新營區永生里中山路249號,,,,"3,000"
42399142,石牌健康人生藥局,,,臺北市北投區永明里石牌路二段187號,,,,"10,000"
91277201,莊敬健康人生藥局,,,新北市板橋區華翠里莊敬路87號1樓,,,,"10,000"
58003103,人生製藥股份有限公司,"JEN SHENG PHARMACEUTICAL CO., LTD.",陳文斌,臺中市西屯區協和里工業區五路3號,"No. 3, Gongyequ 5th Rd., Xiehe Vil., Xitun Dist., Taichung City 40767, Taiwan (R.O.C.)
(來源:國貿局資料)","04-23592345
(來源:國貿局資料)
(04) 23592345
0423591997
043592345
(來源:台灣標案網)",,"75,000,000"
46000088,人壽製藥廠股份有限公司,"LEN-SHOW CHEMICAL & PHARM. CO., LTD.",趙寶桂,新竹市東南街52巷10號,"No. 10, Ln. 52, Dongnan St., East Dist., Hsinchu City 30062, Taiwan (R.O.C.)
(來源:國貿局資料)","03-5222148
(來源:國貿局資料)",,"6,000,000"
45729687,十全藥局,,,臺中市大里區塗城里8鄰塗城路349號,,,,"3,000"
47105498,十全藥局,,周金意,新竹縣新豐鄉松林村泰安街92號,,,,"3,000"
51006301,十全實業股份有限公司,"SHOU CHAN INDUSTRIAL CO., LTD.",黃偉倫,南投縣南投市平山里仁和路27號,"No. 27, Renhe Rd., Pingshan Vil., Nantou City, Nantou County 54065, Taiwan (R.O.C.)
(來源:國貿局資料)","049-2254221
(來源:國貿局資料)
(049) 2254221
(04) 92254221
(04) 922584221
(來源:台灣標案網)",,"108,800,000"
05094982,力暢企業股份有限公司,MERCANTILE ORIENTAL ENTERPRISE LTD.,胡台華,臺北市松山區復興南路1段27號12樓之2,"12 F.-2, No. 27, Sec. 1, Fuxing S. Rd., Songshan Dist., Taipei City 10556, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27521292
(來源:國貿局資料)",,"10,000,000"
36527915,九英企業有限公司,,林兩全,臺北市內湖區內湖路1段411巷10號7樓之1,,"(02) 87975901
(02) 27609532
(來源:台灣標案網)",,"5,000,000"
21231153,八億實業股份有限公司,"VICTORY EIGHT ENTERPRISE CO., LTD.",童瑞瑜,新北市三重區重新路5段646號10樓,"10 F., No. 646, Sec. 5, Chongxin Rd., Sanchong Dist., New Taipei City 24158, Taiwan (R.O.C.)
(來源:國貿局資料)","02-85122511
(來源:國貿局資料)
(02) 85122511
(04) 23811421
(來源:台灣標案網)",,"50,000,000"
82516151,八億實業股份有限公司台中營業所,,,臺中市南屯區南屯里五權西路2段666號13樓之8,,,,
82716123,八億實業股份有限公司高雄營業所,,,高雄市左營區福山里博愛四路2號21樓之1,,,,
07715902,又強儀器有限公司,"U-CHANTER ENTERPRISE CO., LTD.",林利徽,臺北市大安區和平東路2段175巷5弄12之1號1樓,"1 F., No. 12-1, Aly. 5, Ln. 175, Sec. 2, Heping E. Rd., Da’an Dist., Taipei City 10664, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27084247
(來源:國貿局資料)
(02) 27084247
(來源:台灣標案網)",,"10,000,000"
20984470,九彥貿易有限公司,MESSENGER TRADING COMPANY,林兩全,臺北市內湖區內湖路1段66號10樓,"10 F., No. 66, Sec. 1, Neihu Rd., Neihu Dist., Taipei City 11493, Taiwan (R.O.C.)
(來源:國貿局資料)","02-87975901
(來源:國貿局資料)
(02) 87975901
(02) 27609532
02-27609532
(來源:台灣標案網)",,"5,000,000"
35004066,大川實業有限公司,"DAH CHUAN INTERNATIONAL CO., LTD.",黃桂芳,新北市新莊區復興路3段61號,"No. 61, Sec. 3, Fuxing Rd., Xinzhuang Dist., New Taipei City 24251, Taiwan (R.O.C.)
(來源:國貿局資料)","02-29929927
(來源:國貿局資料)
29929927
(來源:台灣標案網)",,"30,000,000"
53036061,欣大中有限公司,,林愉潔,桃園市中壢區中興里環中東路307號1樓,,,,"500,000"
15011407,大申貿易有限公司,"TAH SHEN TRADING CO., LTD.",吳祚明,臺北市萬華區康定路242號,"No. 242, Kangding Rd., Wanhua Dist., Taipei City 10852, Taiwan (R.O.C.)
(來源:國貿局資料)","02-23067581
(來源:國貿局資料)",,"15,000,000"
18555868,大法貿易股份有限公司,"DAPHA TRADING CO., LTD.",蘇義吉,臺北市大安區忠孝東路4段107號8樓之1,"8F.-1, No. 107, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 10690, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27637101
(來源:國貿局資料)",,"25,000,000"
11037709,大明產業股份有限公司,"TAH MIN TRADING CO., LTD.",方仁寬,臺北市大同區長安西路106號4樓之3,"4F.-3, No. 106, Chang’an W. Rd., Datong Dist., Taipei City 10351, Taiwan (R.O.C.)
(來源:國貿局資料)","02-25555353
(來源:國貿局資料)
(02) 25555353
02-25555353
(來源:台灣標案網)",,"34,000,000"
30417980,大陞股份有限公司,"DARTSUN CO., LTD.",楊贊繽,臺北市大安區忠孝東路3段136號11樓,"11 F., No. 136, Sec. 3, Zhongxiao E. Rd., Da’an Dist., Taipei City 10655, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27212506
(來源:國貿局資料)",,"25,000,000"
80663347,禾大陞股份有限公司,,劉長欣,臺北市中山區建國北路2段3巷35號1樓,,"(02) 27953789
(來源:台灣標案網)",,"10,000,000"
02636507,大祥企業行,,劉瑞霖,桃園市八德區茄苳里中華北街１５巷１３號,,,,"20,000"
15627585,大祥企業行,,蔡閔凱,高雄市三民區寶德里淵明街４５號１樓,,,,"100,000"
04706198,大統貿易股份有限公司,"GREAT UNION TRADING CO., LTD.",黨天健,臺北市松山區南京東路5段188號6樓,"6 F., No. 188, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City 10571, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27615111
(來源:國貿局資料)",,"35,000,000"
16808183,金大統貿易股份有限公司,"GOLDEN DAH TOONG TRADING CO., LTD.",梁熏桓,高雄市楠梓區藍田里大學三十八街209號,"No. 209, Daxue 38th St., Lantian Vil., Nanzi Dist., Kaohsiung City 81148, Taiwan (R.O.C.)
(來源:國貿局資料)","07-3705001
(來源:國貿局資料)
(07) 6116611
076116611
(來源:台灣標案網)",,"9,000,000"
90495741,虹光大華股份有限公司,HKI DA HUA CORPORATION,宋大華,臺北市中山區敬業二路199號7樓,"7 F., No. 199, Jingye 2nd Rd., Zhongshan Dist., Taipei City 10466, Taiwan (R.O.C.)
(來源:國貿局資料)","(02)8502-7508
(來源:國貿局資料)",,"29,000,000"
03042004,大陽製藥股份有限公司,SUN LABORATORIES LTD.,許米里,臺北市中正區重慶南路1段121號5樓之17,"5 F.-17, No. 121, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 10045, Taiwan (R.O.C.)
(來源:國貿局資料)","02-28914125
(來源:國貿局資料)",,"29,600,000"
,,,,,,,,
59466263,田中大裕行,,曾秀枚,彰化縣田中鎮東路里復興路八五三號,,,,"5,000"
51316501,金大裕行,,黃萬順,臺中市南區和平街第３市場９號,,"04-22236238
(來源:台灣標案網)",,"3,000"
14198989,新大裕行,,邱一郎,臺東縣東河鄉泰源村本部落三十七號一樓,,,,"3,000"
56352809,蔡大裕行,,蔡勝喜,臺中市清水區武鹿里五權路501巷20號,,,,"34,000"
11065401,大裕行有限公司,,,臺北市中山區南京東路1段10號3樓,,,,"1,000,000"
04379526,大楠有限公司,TA NAN COMPANY LTD.,許翠紋,臺北市中山區長安東路1段43巷4號1樓,"1 F., No. 4, Ln. 43, Sec. 1, Chang’an E. Rd., Zhongshan Dist., Taipei City 10442, Taiwan (R.O.C.)
(來源:國貿局資料)","02-2599-6730
(來源:國貿局資料)
(02) 25996730
(來源:台灣標案網)",,"15,000,000"
22341875,大漢藥品股份有限公司,"TA HAN PHARMACEUTICAL CO., LTD.",賴信維,臺北市松山區南京東路5段188號6樓,"6 F., No. 188, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City 10571, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27615111
(來源:國貿局資料)
(02) 27615111
(02) 27615111 --230
(來源:台灣標案網)",,"10,000,000"
52271550,大業藥品股份有限公司,,,臺中市中區成功路２２９號,,,,
20765524,興采股份有限公司,"IQS MERCHANDISE CO., LTD.",方仁滋,臺北市大安區忠孝東路4段169號9樓,"9 F., No. 169, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 10690, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27731006
(來源:國貿局資料)",,"10,000,000"
,,,,,,,,
35040801,大榮化工廠有限公司,"DYEING CHEMICALS CO., LTD.",杜俊毅,臺北市北投區承德路7段401巷146號,"No. 146, Ln. 401, Sec. 7, Chengde Rd., Beitou Dist., Taipei City 11262, Taiwan (R.O.C.)
(來源:國貿局資料)","02-25029211
(來源:國貿局資料)",,"20,000,000"
35040801,大榮化工廠有限公司,"DYEING CHEMICALS CO., LTD.",杜俊毅,臺北市北投區承德路7段401巷146號,"No. 146, Ln. 401, Sec. 7, Chengde Rd., Beitou Dist., Taipei City 11262, Taiwan (R.O.C.)
(來源:國貿局資料)","02-25029211
(來源:國貿局資料)",,"20,000,000"
82812723,大鋒貿易有限公司,,蕭秉儀,高雄市橋頭區橋新二路886巷10號,,,,"1,000,000"
41474001,桃園大興藥局,,,桃園市桃園區中寧里大興西路二段76巷3號,,,,"10,000"
97818696,大興藥局,,,桃園市桃園區寶山里大德一街96號1樓,,,,"200,000"
77892107,大興藥局,,,臺北市大安區通化里通化街39巷50弄15號1樓,,,,"50,000"
59036721,大豐製藥股份有限公司,"TA FONG PHARMACEUTICAL CO., LTD.",葉明昌,彰化縣彰化市延平里岸頭巷11號,"No. 11, Antou Ln., Yanping Vil., Changhua City, Changhua County 50074, Taiwan (R.O.C.)
(來源:國貿局資料)","047-236912
(來源:國貿局資料)
047138165
(來源:台灣標案網)",,"120,000,000"
55823351,大豐膠囊工業股份有限公司,"DAH FENG CAPSULE INDUSTRY CO., LTD.",宋維仁,臺中市潭子區中山路三段203號,"No. 203, Sec. 3, Zhongshan Rd., Tanzi Dist., Taichung City 42756, Taiwan (R.O.C.)
(來源:國貿局資料)","04-25330801
(來源:國貿局資料)
(04) 25330801
04-25330801
04-25263485
(來源:台灣標案網)",,"210,000,000"
43004982,三才堂製藥廠有限公司,"SANTSAITANG CO., LTD.",鄭永和,桃園市楊梅區梅溪里新農街二段209巷61弄9號,"No. 9, Aly. 61, Ln. 209, Sec. 2, Xinnong St., Meixi Vil., Yangmei Dist., Taoyuan City 32659, Taiwan (R.O.C.)
(來源:國貿局資料)","03-4315769
(來源:國貿局資料)",,"15,000,000"
11070919,三綱企業股份有限公司,"TRIPLE ROPES ENTERPRISE CO., LTD.",陳怡如,臺北市中山區中山北路2段26巷10號1樓,"1 F., No. 10, Ln. 26, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 10445, Taiwan (R.O.C.)
(來源:國貿局資料)","02-25632138
(來源:國貿局資料)",,"10,000,000"
03017906,三光儀器股份有限公司,"SAN KWANG INSTRUMENTS CO., LTD.",黃明豪,臺北市中正區忠孝東路1段112號6樓,"6 F., No. 112, Sec. 1, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 10050, Taiwan (R.O.C.)
(來源:國貿局資料)","02-23934231
(來源:國貿局資料)
(02) 23934231
(06) 2678463
(來源:台灣標案網)",,"29,990,000"
85447798,新三元藥行,,楊政道,新北市新莊區新莊路270號,,,,"180,000"
62939934,三元藥行,,黃三元,臺南市中西區保安里保安路48號1樓,,,,"3,000"
74012305,三東生物科技股份有限公司,,莊志杰,臺南市佳里區禮化里佳里興247號,,,,"10,000,000"
22123195,三能化學股份有限公司,"SAN NANG CHEMICAL CO., LTD.",曾煥棠,彰化縣彰化市民生里長壽街100號5樓,"5 F., No. 100, Changshou St., Minsheng Vil., Changhua City, Changhua County 50066, Taiwan (R.O.C.)
(來源:國貿局資料)","04-7551850
(來源:國貿局資料)",,"24,000,000"
89277704,三泰製藥廠股份有限公司,"SAN TAI PHARMACEUTICAL CO., LTD.",董祺祥,高雄市前鎮區新生路228號1樓,"1 F., No. 228, Xinsheng Rd., Cianjhen Dist., Kaohsiung City 80672, Taiwan (R.O.C.)
(來源:國貿局資料)","07-822-8359
(來源:國貿局資料)",,"22,000,000"
11020875,三湖貿易有限公司,"SUN HU TRADING CO., LTD.",張上典,臺北市中山區復興北路164號7樓,"7 F., No. 164, Fuxing N. Rd., Zhongshan Dist., Taipei City 10487, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27187926
(來源:國貿局資料)",,"15,000,000"
11072509,三福氣體股份有限公司,"AIR PRODUCTS SAN FU CO., LTD.",莫煒邦 Wilbur Mok,臺北市中山區中山北路2段21號5樓,"5 F., No. 21, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 10450, Taiwan (R.O.C.)
(來源:國貿局資料)","02-2521-4161
(來源:國貿局資料)
(02) 25214161
(02) 22062211
(03) 5552306 --694
(03) 5501527
(來源:台灣標案網)",,"13,633,562,620"
29185358,三福氣體股份有限公司-南科分公司,,,臺南市善化區安順一路3號,,,,
12800864,三福氣體股份有限公司-中科分公司,"AIR PRODUCTS SAN FU CO., LTD. CENTRAL TAIWAN SCIENCE PARK BRANCH",,臺中市大雅區秀山村科雅路19號,"No. 19, Keya Rd., Daya Dist., Taichung City 42881, Taiwan (R.O.C.)
(來源:國貿局資料)","04-23593082-360
(來源:國貿局資料)",,
11027322,久好企業股份有限公司,"ETERNITY ENTERPRISE (TAIWAN), LTD.",蘇建榮,臺北市大同區南京西路22號12樓,"12 F., No. 22, Nanjing W. Rd., Datong Dist., Taipei City 10352, Taiwan (R.O.C.)
(來源:國貿局資料)","02-2555-9231
(來源:國貿局資料)
(02) 27132323 --17
(02) 27132323
(來源:台灣標案網)",,"74,000,000"
59039712,久松化學企業股份有限公司,,周辟鈞,彰化縣秀水鄉安東村彰水路1段340號,,,,"59,000,000"
05071926,久裕企業股份有限公司,"ARICH ENTERPRISE CO., LTD.",傅輝東,新北市中和區中原里中正路880號14樓之5,"14F-5, No. 880, Zhongzheng Rd., Zhonghe Dist.New Taipei City 23586, Taiwan, R.O.C.
(來源:上市上櫃)","02-82277999
(來源:國貿局資料)
(02)8227-7999
(來源:台灣上市上櫃公司-久裕)
(02) 82277999
(來源:台灣標案網)",tim.wang@arich.com.tw,"1,000,000,000"
22215650,久仁製藥廠股份有限公司,,莊登雲,南投縣南投市永豐里工業路59號,,,,"6,000,000"
55701890,台灣君代生技有限公司,"TAIWAN CHUN DAI BIOTECH CO., LTD.",張育誌,臺中市外埔區水美里水美路285巷1號,"No. 1, Ln. 285, Shuimei Rd., Shuimei Vil., Waipu Dist., Taichung City 43859, Taiwan (R.O.C.)
(來源:國貿局資料)","04-26861278
(來源:國貿局資料)",,"5,000,000"
60311366,千裕企業有限公司,,洪鈺玲,臺中市南屯區嶺東南路181號10樓之3,,,,"600,000"
05016500,上合貿易股份有限公司,"FOUND SINCERE ENTERPRISE CO., LTD.",戎偉德,臺北市中正區愛國西路9號2樓之8,"2 F.-8, No. 9, Aiguo W. Rd., Zhongzheng Dist., Taipei City 10042, Taiwan (R.O.C.)
(來源:國貿局資料)","02-23755412
(來源:國貿局資料)
(02) 23613040
(02) 23755412
(02) 23618588
0800231956
(來源:台灣標案網)",,"20,000,000"
03035209,上海聯合藥房股份有限公司,"SHANGHAI UNION DISPENSARY CO., LTD.",李照雄,臺北市中正區衡陽路32號,"No. 32, Hengyang Rd., Zhongzheng Dist., Taipei City 10045, Taiwan (R.O.C.)
(來源:國貿局資料)","02-23117744
(來源:國貿局資料)",,"15,000,000"
14079409,川聖貿易股份有限公司,TRADSHINE COMPANY LTD.,楊健宏,臺北市松山區民生東路5段28號5樓,"5 F., No. 28, Sec. 5, Minsheng E. Rd., Songshan Dist., Taipei City 10572, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27935288
(來源:國貿局資料)
02-27935288
02-27601161
(來源:台灣標案網)",,"62,000,000"
12319115,大用股份有限公司,"SUPERMEDI CO., LTD.",施樹林,臺北市大安區和平東路3段422號1樓,"1 F., No. 422, Sec. 3, Heping E. Rd., Da’an Dist., Taipei City 10676, Taiwan (R.O.C.)
(來源:國貿局資料)","02-87326732
(來源:國貿局資料)
(02) 87326732
(02) 27660666
(來源:台灣標案網)",,"5,000,000"
34261355,大雅儀器有限公司,"WONDERFUL INSTRUMENTS COMPANY, LTD.",林器愷,臺北市大安區復興南路2段160巷2號7樓,"7 F., No. 2, Ln. 160, Sec. 2, Fuxing S. Rd., Da’an Dist., Taipei City 10664, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27001787
(來源:國貿局資料)
(02) 27001787
0227001787
02-27001787
27001787
(來源:台灣標案網)",,"12,000,000"
22786222,三岳化成股份有限公司,SAN YUEH CHEMICAL CORPORATION,陳榮宏,嘉義縣民雄鄉民雄工業區北斗村中正路五號,"No. 5, Zhongzheng Rd., Minxiong Township, Chiayi County 62146, Taiwan (R.O.C.)
(來源:國貿局資料)","05-2219068
(來源:國貿局資料)",,"6,000,000"
22156836,大裕儀器有限公司,"AMPLE MEDICAL INSTRUMENTS CO., LTD.",張煌裕,臺北市中山區中山北路1段92號4樓、4樓之1,"4 F., No. 92, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei City 10444, Taiwan (R.O.C.)
(來源:國貿局資料)","02-25214437
(來源:國貿局資料)
(02) 25214437
(來源:台灣標案網)",,"5,000,000"
23118728,大啟藥品有限公司,TA-CHI PHARMACEUTICAL LTD.,鐘登科,新北市永和區中正路602巷1號11樓-5,"Rm. 5, 11 F., No. 1, Ln. 602, Zhongzheng Rd., Yonghe Dist., New Taipei City 23455, Taiwan (R.O.C.)
(來源:國貿局資料)","02-29229350
(來源:國貿局資料)",,"7,000,000"
12525760,千輝針灸器材有限公司,"CHIAN HUEI ACUPUNCTURE APPLIANCE CO., LTD.",劉永茂,臺北市中正區重慶南路1段43號12樓,"12 F., No. 43, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 10045, Taiwan (R.O.C.)
(來源:國貿局資料)","02-28958209
(來源:國貿局資料)
(04) 22318563
27856803
02-27856803
(來源:台灣標案網)",,"5,000,000"
23749295,上昕國際股份有限公司,SUN & PAUL INTERNATIONAL INC.,張夢衿,新北市淡水區自立路15巷15號18樓,"18 F., No. 15, Ln. 15, Zili Rd., Tamsui Dist., New Taipei City 25162, Taiwan (R.O.C.)
(來源:國貿局資料)","02-27325868
(來源:國貿局資料)",,"5,000,000"
31900250,美商亞洲美樂家有限公司台灣分公司台北營業所,,,臺北市松山區慈祐里八德路4段762號1樓及760號2樓之1,,,,
31726274,美商亞洲美樂家有限公司台灣分公司新店營業所,,,新北市新店區信義里中興路3段254﹑256號1樓及2樓,,,,
26909739,美商亞洲美樂家有限公司台灣分公司頭份營業所,,,苗栗縣頭份市東庄里尚順路72號1﹒2樓,,,,
26899789,美商亞洲美樂家有限公司台灣分公司太平營業所,,,臺中市太平區永平里東平路511號1樓﹑2樓,,,,
30167483,美商亞洲美樂家有限公司台灣分公司三重營業所,,,新北市三重區富貴里集賢路152號,,,,
45486041,美商亞洲美樂家有限公司台灣分公司苗栗營業所,,,苗栗縣苗栗市中苗里21鄰中山路538號,,,,
45478703,美商亞洲美樂家有限公司台灣分公司草屯營業所,,,彰化縣員林市仁美里005鄰浮圳路二段439號,,,,
45406737,美商亞洲美樂家有限公司台灣分公司斗六營業所,,,雲林縣斗六市公誠里2鄰上海路188號,,,,
09653874,美商亞洲美樂家有限公司台灣分公司永和營業所,,,新北市中和區碧河里建康路168號,,,,
48727305,美商亞洲美樂家有限公司台灣分公司士林營業所,,,臺北市士林區義信里承德路4段181號,,,,
09095132,美商亞洲美樂家有限公司台灣分公司屏東營業所,,,屏東縣潮州鎮三共里朝昇路114﹑116號,,,,
49919386,美商亞洲美樂家有限公司台灣分公司宜蘭營業所,,,宜蘭縣宜蘭市擺厘里嵐峰路一段46號,,,,
09168839,美商亞洲美樂家有限公司台灣分公司彰化營業所,,,彰化縣和美鎮仁愛里和旺街32號,,,,
08739277,美商亞洲美樂家有限公司台灣分公司中壢營業所,,,桃園市中壢區莊敬里莊敬路92號1.2樓,,,,
21864889,美商亞洲美樂家有限公司台灣分公司豐原營業所,,,臺中市豐原區翁子里5鄰豐勢路2段252巷2號,,,,
21362577,美商亞洲美樂家有限公司台灣分公司瑞隆營業所,,,高雄市左營區福山里2鄰自由四路453號1樓,,,,
29358180,美商亞洲美樂家有限公司台灣分公司板橋營業所,,,新北市板橋區香社里中正路337號1樓,,,,
17594337,美商亞洲美樂家有限公司台灣分公司台南營業所,,,臺南市安平區文平里建平路141﹑143號,,,,
74884857,美商亞洲美樂家有限公司台灣分公司台中營業所,,,臺中市南屯區新生里龍富十八路121號,,,,
